name,Date,ret,Close,momentum_total,price_mon,volume_mon,gray,blue,yellow,green
UTKUSDT,2022-11-01 20:00:00,0.07805596465390274,0.1464,12.0,11.319511329649735,-17.039184291870125,1,0,0,0
MASKUSDT,2022-11-01 20:00:00,0.7745140388768896,4.108,11.0,139.99065274964948,194.92547526272125,0,0,0,0
RNDRUSDT,2022-11-01 20:00:00,0.18222891566265065,0.785,11.0,44.08957415565344,63.67954201247922,0,0,0,0
NEXOUSDT,2022-11-01 20:00:00,-0.018664047151277008,0.999,11.0,2.735499794323331,-5.4121326877655695,0,0,0,0
YFIIUSDT,2022-11-01 20:00:00,-0.026437134952351782,1266.8,11.0,4.84903328330537,-20.82658838373358,0,0,0,0
CAKEUSDT,2022-11-01 20:00:00,-0.010654490106544956,4.55,11.0,0.7201676455830694,-27.815982133356492,0,0,0,0
DOGEUSDT,2022-11-01 20:00:00,-0.0887340792343958,0.1295,10.0,41.01531023368252,167.47737683828868,0,0,0,0
AUDIOUSDT,2022-11-01 20:00:00,-0.06132075471698106,0.199,10.0,3.144436765722183,78.57129002702443,0,0,0,0
LITUSDT,2022-11-01 20:00:00,0.15300546448087426,1.055,10.0,30.89330024813896,45.891390191393924,0,0,0,0
VITEUSDT,2022-11-01 20:00:00,0.010700091715071691,0.03306,10.0,-1.152128847073836,32.891090556331676,0,0,0,0
TORNUSDT,2022-11-01 20:00:00,-0.0638977635782747,5.86,10.0,-3.4596375617792274,27.904069755134774,0,0,0,0
LTCUSDT,2022-11-01 20:00:00,0.10744101633393832,61.02,10.0,11.587930508991173,18.887848227316866,0,0,0,0
BALUSDT,2022-11-01 20:00:00,0.034070531978481755,6.92,10.0,6.06664418626039,14.892858297059671,0,0,0,0
AUCTIONUSDT,2022-11-01 20:00:00,-0.004975124378109541,6.0,10.0,3.4245001149161016,1.830836606408572,0,0,0,0
CHZUSDT,2022-11-01 20:00:00,-0.0008771929824561431,0.2278,10.0,12.835584321236343,-5.69972804440819,0,0,0,0
LINAUSDT,2022-11-01 20:00:00,0.013003901170351106,0.00779,10.0,-0.8653601425299102,-8.221693646952925,0,0,0,0
DODOUSDT,2022-11-01 20:00:00,-0.04548844146159581,0.128,10.0,-1.020723785957306,-23.182514164713112,0,0,0,0
XVSUSDT,2022-11-01 20:00:00,-0.027888446215139417,4.88,10.0,2.7368421052631557,-25.649796770463723,0,0,0,0
LSKUSDT,2022-11-01 20:00:00,-0.03423967774420955,0.959,10.0,-0.44982698961937373,-25.76662954037693,0,0,0,0
DATAUSDT,2022-11-01 20:00:00,-0.014441591784338903,0.03071,10.0,-0.6105980840597227,-28.046756640224014,0,0,0,0
BAKEUSDT,2022-11-01 20:00:00,-0.03146430012101653,0.2401,10.0,2.396792903445917,-37.10327397467961,0,0,0,0
STPTUSDT,2022-11-01 20:00:00,-0.03691588785046729,0.04122,10.0,-2.000253597920496,-53.6214627081369,0,0,0,0
GTCUSDT,2022-11-01 20:00:00,0.12722063037249276,1.967,9.0,13.989337042188227,105.97091507983147,0,0,0,0
TFUELUSDT,2022-11-01 20:00:00,0.03819444444444442,0.0598,9.0,9.751621191728855,104.9475781454128,0,0,0,0
AUTOUSDT,2022-11-01 20:00:00,-0.04220779220779225,236.0,9.0,-1.106268856855509,94.5677666735991,0,0,0,0
SANDUSDT,2022-11-01 20:00:00,-0.04674418604651165,0.8198,9.0,3.2580401377109656,41.96557466643125,0,0,0,0
BNBUSDT,2022-11-01 20:00:00,-0.01636307502315515,318.6,9.0,8.249524327262854,32.27657732352444,0,0,0,0
DOTDOWNUSDT,2022-11-01 20:00:00,0.05283605283605297,13.55,9.0,-2.5679866926804835,22.998239095683783,0,0,0,0
BSWUSDT,2022-11-01 20:00:00,-0.02300613496932491,0.2548,9.0,-0.6085192697768784,19.112354382389544,0,0,0,0
FTMUSDT,2022-11-01 20:00:00,-0.029054640069384297,0.2239,9.0,2.396414524833072,18.222855930177705,0,0,0,0
API3USDT,2022-11-01 20:00:00,0.03537338573834936,1.844,9.0,7.117961428239475,16.28489519668164,0,0,0,0
AUDUSDT,2022-11-01 20:00:00,0.001877934272300541,0.6402,9.0,0.16584785805925928,15.311016961017318,0,0,0,0
IOTXUSDT,2022-11-01 20:00:00,-0.01158301158301156,0.02816,9.0,2.1993177034187372,12.831036114301531,0,0,0,0
EOSUSDT,2022-11-01 20:00:00,0.0061295971978985175,1.149,9.0,3.4762247838616895,7.376038297968529,0,0,0,0
SFPUSDT,2022-11-01 20:00:00,-0.02909270216962534,0.3938,9.0,-0.1487541837114202,6.216193382774487,0,0,0,0
RUNEUSDT,2022-11-01 20:00:00,-0.051823416506717845,1.482,9.0,-1.9538658316058797,5.26398766691583,0,0,0,0
KDAUSDT,2022-11-01 20:00:00,0.0015232292460014563,1.315,9.0,2.1544357553472517,3.333988332792828,0,0,0,0
MBOXUSDT,2022-11-01 20:00:00,-0.03508771929824561,0.605,9.0,0.8557457212713918,2.0640362523775537,0,0,0,0
EGLDUSDT,2022-11-01 20:00:00,-0.025288896332272603,58.2,9.0,1.4514648289967478,0.8760387003993468,0,0,0,0
LINKUPUSDT,2022-11-01 20:00:00,0.0025337837837837718,0.01187,9.0,11.163139164637576,0.3072982760908465,0,0,0,0
POWRUSDT,2022-11-01 20:00:00,-0.04299516908212553,0.1981,9.0,0.3444433188126766,-0.8189450288341458,0,0,0,0
BNBUPUSDT,2022-11-01 20:00:00,-0.029941418962898703,44.71,9.0,15.416387010170919,-0.8870210351427648,0,0,0,0
EURUSDT,2022-11-01 20:00:00,-0.0005065856129685686,0.9865,9.0,-0.4514080432705776,-5.356573268761127,0,0,0,0
UNFIUSDT,2022-11-01 20:00:00,-0.042535018790570533,5.605,9.0,-1.4118364427350234,-7.1176389146239485,0,0,0,0
ANTUSDT,2022-11-01 20:00:00,0.04099722991689747,1.879,9.0,9.02444685130744,-11.001041896015048,0,0,0,0
LINKUSDT,2022-11-01 20:00:00,0.0006507027589797154,7.689,9.0,6.31521699052396,-11.203358807342232,0,0,0,0
USDSBUSDT,2022-11-01 20:00:00,-0.03665648430991386,0.3469,9.0,4.007595442734351,-12.97275083474167,0,0,0,0
ALGOUSDT,2022-11-01 20:00:00,-0.03665648430991386,0.3469,9.0,4.007595442734351,-12.97275083474167,0,0,0,0
ETHUPUSDT,2022-11-01 20:00:00,-0.027108433734939652,4.522,9.0,10.290889579031239,-16.980597217177007,0,0,0,0
DIAUSDT,2022-11-01 20:00:00,0.020356234096692072,0.401,9.0,1.211509338717826,-20.500585562208926,0,0,0,0
AVAUSDT,2022-11-01 20:00:00,-0.010582010582010581,0.748,9.0,3.276877761413851,-23.286053176589323,0,0,0,0
FETUSDT,2022-11-01 20:00:00,-0.01813784764207982,0.0812,9.0,-1.0078023407022147,-28.728474154040097,0,0,0,0
